Code,Description
PRD,RIO-BUENOS AIRES
PRE,RECIFE
PRF,RIVIERA FRANCESA
PRG,REGRESO AL MEDITERRANEO
PRH,RUMBO A EUROPA
PRI,RIO DE JANEIRO-SALVADOR-BUZIOS
PRJ,RUMBO AL CARIBE
PRL,ROMA A BARCELONA
PRM,RIO-BUENOS AIRES-MONTEVIDEO
PRN,RUMO AO NORDESTE
PRO,RIO-ILHEUS-SALVADOR-MACEIO
PRP,RUMO A EUROPA
PRR,RECIFE - SANTOS
PRS,Red Sea
PRT,RIO-SANTOS-RIO
PRU,ESPECIAL RUMO A BRASIL
PRV,ROUTE DES VIGNOBLES
PRZ,IMPERATRIZ RUMO A SANTOS
PSA,SALVADOR-BUZIOS-SANTOS-RIO DE JANEIRO
PSB,"SALVADOR, BUZIOS E SANTOS"
PSC,PARAISO DO CARIBE
PSD,SALVADOR-RIO-SANTOS-SALVADOR
PSE,SÉRÉNISSIME
PSF,Secrets d ete
PSG,SUEÑOS DE GRECIA
PSH,Saveurs et Découvertes
PSI,MINI SANTOS-RIO-BUZIOS
PSL,SALVADOR-RIO-ILHEUS
PSM,SOLEIL DE MINUIT
PSN,SANTOS - RECIFE
PSO,Sole Mio
PSP,SOL Y PLAYAS DE BRASIL
PSR,SOBERANO RUMO A SANTOS
PSS,SEMANA SANTA
PST,SANTOS - SANTOS
PSU,MINI CRUZEIRO SUR
PSV,SANTOS-RIO-BUZIOS-VITORIA
PSX,DE ST MARTIN A MALAGA
PSZ,SALVADOR-SANTOS
PTA,ITAJAI-BUZIOS-ILHABELA-SANTOS
PTB,TRANS I.MARG BARCELONA
PTC,TESOROS CLÁSICOS
PTD,TRANSAT ENTRE DEUX MONDE
PTE,TERRE SAINTE
PTI,CRUCERO TEMÁTICO M.IDADE
PTL,DE TOULON A BARCELONA
PTM,CRUCERO TEMATICO
PTO,Tosca
PTR,RITMO TROPICAL
PTS,Tierra Santa
PTU,Tutti Frutti
PTZ,COSTA AZUL
PUR,BUZIOS-SANTOS-RIO
PVB,ITAJAÍ-MONTEVIDEO-BUENOS AIRES
PVE,Vénézia
PVL,CARNAVAL EN CANARIAS
PVS,MONTEVIDEO-BUENOS AIRES-SANTOS
PWC,CARIBE MAYA
PWE,Weekend en Mer
PWL,WATERLAND
PZR,M. CRUZEIRO BUZIOS-P.TROP
PZT,SANTOS-SANTOS
SAM,SOUTH AMERICA
SAR,South American Repo
SPC,South Pacific
WCS,WESTBOUND COASTAL
WLD,WORLD
XAL,TRANSATLANTIC
XCL,TRANSCANAL
XPC,Transpacific
