Brand,Ship Code,Ship Name,Deck Code,Deck Name,Deck Number
C,SI,CELEBRITY SILHOUETTE,SD,SOLSTICE DECK,16
C,SI,CELEBRITY SILHOUETTE,SK,SKY DECK,10
C,SI,CELEBRITY SILHOUETTE,PH,PENTHOUSE DECK,11
C,SI,CELEBRITY SILHOUETTE,RS,RESORT DECK,12
C,SI,CELEBRITY SILHOUETTE,LD,LIDO DECK,14
C,SI,CELEBRITY SILHOUETTE,LC,THE LAWN CLUB,15
C,SI,CELEBRITY SILHOUETTE,PN,PANORAMA DECK,9
C,SL,CELEBRITY SOLSTICE,CN,CONTINENTAL DECK,6
C,SL,CELEBRITY SOLSTICE,EN,ENTERTAINMENT DECK,5
C,SL,CELEBRITY SOLSTICE,MD,MEDICAL DECK,2
C,SL,CELEBRITY SOLSTICE,PL,PLAZA DECK,3
C,SL,CELEBRITY SOLSTICE,SR,SUNRISE DECK,7
C,SL,CELEBRITY SOLSTICE,PD,PROMENADE DECK,4
C,SL,CELEBRITY SOLSTICE,VS,VISTA DECK,8
C,SL,CELEBRITY SOLSTICE,SK,SKY DECK,10
C,SL,CELEBRITY SOLSTICE,PN,PANORAMA DECK,9
C,SL,CELEBRITY SOLSTICE,LC,THE LAWN CLUB,15
C,SL,CELEBRITY SOLSTICE,LD,LIDO DECK,14
C,SL,CELEBRITY SOLSTICE,SD,SOLSTICE DECK - 16,16
C,SL,CELEBRITY SOLSTICE,PH,PENTHOUSE DECK,11
C,SL,CELEBRITY SOLSTICE,RS,RESORT DECK,12
C,SM,CELEBRITY SUMMIT,EN,ENTERTAINMENT DECK,5
C,SM,CELEBRITY SUMMIT,CN,CONTINENTAL DECK,2
C,SM,CELEBRITY SUMMIT,PL,PLAZA DECK,3
C,SM,CELEBRITY SUMMIT,PD,PROMENADE DECK,4
C,SM,CELEBRITY SUMMIT,PH,PENTHOUSE DECK,6
C,SM,CELEBRITY SUMMIT,MD,MEDICAL DECK,1
C,SM,CELEBRITY SUMMIT,PN,PANORAMA DECK,8
C,SM,CELEBRITY SUMMIT,SP,SPORTS DECK,12
C,SM,CELEBRITY SUMMIT,SR,SUNRISE DECK,11
C,SM,CELEBRITY SUMMIT,VS,VISTA DECK,7
C,SM,CELEBRITY SUMMIT,SK,SKY DECK,9
C,SM,CELEBRITY SUMMIT,RS,RESORT DECK,10
C,XE,CELEBRITY XPERIENCE,MD,MAIN DECK,2
C,XE,CELEBRITY XPERIENCE,SD,SUN DECK,5
C,XE,CELEBRITY XPERIENCE,BD,BOAT DECK,4
C,XE,CELEBRITY XPERIENCE,WD,WEATHER DECK,3
C,XO,CELEBRITY XPLORATION,MD,MAIN DECK,2
C,XO,CELEBRITY XPLORATION,UD,UPPER DECK,3
C,XO,CELEBRITY XPLORATION,SD,SUN DECK,4
C,XP,CELEBRITY XPEDITION,SR,SUNRISE DECK,6
C,XP,CELEBRITY XPEDITION,PN,PANORAMA DECK,5
C,XP,CELEBRITY XPEDITION,VI,VISTA DECK,4
C,XP,CELEBRITY XPEDITION,MA,MARINA DECK,3
R,AD,ADVENTURE OF THE SEAS,07,DECK SEVEN,7
R,AD,ADVENTURE OF THE SEAS,05,DECK FIVE,5
R,AD,ADVENTURE OF THE SEAS,02,DECK TWO,2
R,AD,ADVENTURE OF THE SEAS,03,DECK THREE,3
R,AD,ADVENTURE OF THE SEAS,04,DECK FOUR,4
R,AD,ADVENTURE OF THE SEAS,08,DECK EIGHT,8
R,AD,ADVENTURE OF THE SEAS,06,DECK SIX,6
R,AD,ADVENTURE OF THE SEAS,10,DECK TEN,10
R,AD,ADVENTURE OF THE SEAS,09,DECK NINE,9
R,AD,ADVENTURE OF THE SEAS,14,DECK FOURTEEN,14
R,AD,ADVENTURE OF THE SEAS,13,DECK THIRTEEN,13
R,AD,ADVENTURE OF THE SEAS,15,DECK FIFTEEN,15
R,AD,ADVENTURE OF THE SEAS,11,DECK ELEVEN,11
R,AD,ADVENTURE OF THE SEAS,12,DECK TWELVE,12
R,AL,ALLURE OF THE SEAS,03,DECK THREE,3
R,AL,ALLURE OF THE SEAS,09,DECK NINE,9
R,AL,ALLURE OF THE SEAS,05,DECK FIVE,5
R,AL,ALLURE OF THE SEAS,06,DECK SIX,6
R,AL,ALLURE OF THE SEAS,07,DECK SEVEN,7
R,AL,ALLURE OF THE SEAS,08,DECK EIGHT,8
R,AL,ALLURE OF THE SEAS,10,DECK TEN,10
R,AL,ALLURE OF THE SEAS,04,DECK FOUR,4
R,AL,ALLURE OF THE SEAS,12,DECK TWELVE,12
R,AL,ALLURE OF THE SEAS,18,DECK EIGHTEEN,18
R,AL,ALLURE OF THE SEAS,17,DECK SEVENTEEN,17
R,AL,ALLURE OF THE SEAS,11,DECK ELEVEN,11
R,AL,ALLURE OF THE SEAS,15,DECK FIFTEEN,15
R,AL,ALLURE OF THE SEAS,14,DECK FOURTEEN,14
R,AL,ALLURE OF THE SEAS,16,DECK SIXTEEN,16
R,AN,ANTHEM OF THE SEAS,09,DECK NINE,9
R,AN,ANTHEM OF THE SEAS,04,DECK FOUR,4
R,AN,ANTHEM OF THE SEAS,05,DECK FIVE,5
R,AN,ANTHEM OF THE SEAS,06,DECK SIX,6
R,AN,ANTHEM OF THE SEAS,07,DECK SEVEN,7
R,AN,ANTHEM OF THE SEAS,08,DECK EIGHT,8
R,AN,ANTHEM OF THE SEAS,03,DECK THREE,3
R,AN,ANTHEM OF THE SEAS,10,DECK TEN,10
R,AN,ANTHEM OF THE SEAS,12,DECK TWELVE,12
R,AN,ANTHEM OF THE SEAS,13,DECK THIRTEEN,13
R,AN,ANTHEM OF THE SEAS,14,DECK FOURTEEN,14
R,AN,ANTHEM OF THE SEAS,15,DECK FIFTEEN,15
R,AN,ANTHEM OF THE SEAS,16,DECK SIXTEEN,16
R,AN,ANTHEM OF THE SEAS,11,DECK ELEVEN,11
R,BR,BRILLIANCE OF THE SEAS,05,DECK FIVE,5
R,BR,BRILLIANCE OF THE SEAS,04,DECK FOUR,4
R,BR,BRILLIANCE OF THE SEAS,06,DECK SIX,6
R,BR,BRILLIANCE OF THE SEAS,02,DECK TWO,2
R,BR,BRILLIANCE OF THE SEAS,03,DECK THREE,3
R,BR,BRILLIANCE OF THE SEAS,07,DECK SEVEN,7
R,BR,BRILLIANCE OF THE SEAS,10,DECK TEN,10
