Airport Code,Airport Name,Airport City,Airport State,Airport Country
TRI,TRI CITY RGNL,BRISTOL KINGSPRT,TN,USA
TRN,CITTA DI TORINO,TURIN,,ITA
TRS,DEI LEGIONARI,TRIESTE,,ITA
TSF,TREVISO,VENICE,,ITA
TSN,ZHANG GUI ZHUANG,TIANJIN,,CHN
TSR,TRAIAN VUIA INTL,TIMISOARA,,ROM
TSV,TOWNSVILLE ARPT,TOWNSVILLE,,AUS
TTN,TRENTON-MERECER,PHILADELPHIA,PA,USA
TUL,TULSA INTL,TULSA,OK,USA
TUN,CARTHAGE,TUNIS,,TUN
TUO,TAUPO,TAUPO,,NZL
TUP,LEMONS MUNI,TUPELO,MS,USA
TUS,TUCSON  INTL,TUCSON,AZ,USA
TVC,CHERRY CAPTIAL,TRAVERSE CITY,MI,USA
TVL,LAKE TAHOE ARPT,LAKE TAHOE,CA,USA
TWF,TWINS FALLS RGNL,TWINS FALLS,ID,USA
TXK,TEXARKANA RGNL,TEXARKANA,AR,USA
TXL,TEGEL,BERLIN,,DEU
TYO,NARITA,TOKYO,,JPN
TYR,TYLER POUNDS,TYLER,TX,USA
TYS,MCGHEE TYSON,KNOXVILLE,TN,USA
UCA,ONIEDA CNTY,UTICA,NY,USA
UIN,QUINCY MUNI,QUINCY,IL,USA
UIO,MARISCAL SUCRE,QUITO,,ECU
UKB,KOBE,KOBE,,JPN
UKS,SEVASTOPOL,SEVASTOPOL,,UKR
UME,UMEA,UMEA,,SWE
URO,BOOS,ROUEN,,FRA
USH,ISLAS MALVINAS,USHUAIA,,ARG
USM,KOH SAMUI,KOH SAMUI,,THA
UVE,OUVEA,OUVEA,,NCL
UVF,HEWANORRA,ST.LUCIA,,LCA
VAP,VALPARAISO ARPT,VALPARAISO,,CHL
VAR,VARNA,VARNA,,BGR
VBS,MONTICHIARI,MONTICHIARI,,ITA
VBY,VISBY,VISBY,,SWE
VCE,MARCO POLO,VENICE,,ITA
VCL,ULVIK NORWAY,ULVIK NORWAY,,NOR
VCP,VIRACOPOS,CAMPINAS,,BRA
VCS,VICTORIA STATION,LONDON,,GBR
VCT,VICTORIA RGNL,VICTORIA,TX,USA
VCY,VISBY,VISBY SWEDEN,,SWE
VDE,HIERRO,VALVERDE,,ESP
VDZ,VALDEZ MUNI,VALDEZ,AK,USA
VEL,VERNAL AIRPORT,VERNAL,UT,USA
VGO,VIGO ARPT,VIGO,,ESP
VIE,VIENNA INTL,VIENNA,,AUT
VIJ,VIRGIN GORDA,VIRGIN GORDA,,VGB
VIT,VITORIA,VITORIA,,ESP
VIX,EURICO SALES,VITORIA,,BRA
VLC,VALENCIA,VALENCIA,,ESP
VLD,VALDOSTA RGNL,VALDOSTA,GA,USA
VLI,BAUERFIELD,PORT VILA,,VUT
VLL,VALLADOLID,VALLADOLID,,ESP
VNO,VILNIUS AIRPORT,VILNIUS,,LTU
VOL,NEA ANCHIALOS,VOLOS,,GRC
VPS,DESTIN FT WALTON,FT WALTON BCH,FL,USA
VQS,VIEQUES AIRPORT,VIEQEUS,,PRI
VRN,VERONA AIRPORT,VERONA,,ITA
