Airport Code,Airport Name,Airport City,Airport State,Airport Country
VTE,WATTAY INTL,VIENTIANE,,LAO
RUH,KING KHALID INTL,RIYADH,,SAU
TMW,TAMWORTH,TAMWORTH,,AUS
YZR,CHRIS HADFIELD,SARNIA,,CAN
TAE,DAEGU INT AIRPOR,DAEGU,,KOR
PPP,PROSERPINE ARPT,PORSERPINE,,AUS
HRI,MATTALA INTL,HAMBANTOTA,,LKA
BTU,BINTULU AIRPORT,BINTULU,,MYS
OST,OSTENDE BRUGGE,OOSTENDE,,BEL
HOR,HORTA AIRPORT,HORTA,,PRT
RJK,RIJEKA INTL,RIJEKA,,HRV
XSB,SIR BANI YAS APT,SIR BANI YAS,,ARE
WGA,CITY AIRPORT,WAGGA WAGGA,,AUS
TWB,TOOWOOMBA,AUSTRALIA,,AUS
KOK,KOKKOLA,KOKKOLA,,FIN
PQQ,PORT MACQUARIE,NEW SOUTH WALES,,AUS
CFG,JAIME GONZALEZ,CIENFUEGOS,,CUB
SCU,ANTONIO MACEO,SANTIAGO DE CUBA,,CUB
RGL,KIGALI,KIGALI RWANDA,,REU
KGL,KIGALI,KIGALI RWANDA,,REU
ABV,NNAMDI AZIKWE,ABUJA,,NGA
GST,GUSTAVUS AIRPORT,GUSTAVUS,AK,USA
BDB,BUNDABERG QLD,AUSTRALIA,,AUS
PNH,PHNOM PENH INTL,PHNOM PENH,,KHM
PIU,CONCHA IBERICO,PIURA,,PER
ZVJ,ABU DHABI BUS ST,ABU DHABI,,UAE
DVO,FRANCISCO BANGOY,DAVAO,,PHL
SMI,SAMOS AIRPORT,SAMOS ISLAND,,GRC
MQN,ROSSVOLL,RANA,,NOR
SWO,STILLWATER,STILLWATER,OK,USA
SCC,DEADHORSE,DEADSHORSE,AK,USA
YPW,POWELL RIVER,POWELL RIVER,,CAN
LXS,LEMNOS INT,GREECE,,GRC
KIJ,NIIGATA AIRPORT,NIIGATA,,JPN
CQF,PORT DE CALAIS,PORT DE CALAIS,,FRA
MHD,MASHHAD INTL,MASHHAD,,IRN
BJV,BODRUM MILAS,BODRUM,,TUR
CEB,MACTAN INTL,CEBU,,PHL
IKJ,ERROR,ERROR,,IND
KKJ,KITAKYUSHU ARPT,KITAKYUSHU,,JPN
IXJ,JAMMU AIRPORT,JAMMU,,IND
CZX,CHANGZHOU APRT,CHANGZHOU,,CHN
WTB,BNE WEST WELLCAM,BRISBANE,,AUS
SNU,SANTA CLARA,SANTA MARIA,CA,USA
MYA,MORUYA,MORUYA,,AUS
CDP,CHARLES DE GUALL,PARIS,,FRA
MIM,MERIMBULA  AIRPT,MERIMBULA,,AUS
NZN,NELSON AIRPORT,NELSON,,NZL
NSN,NELSON AIRPORT,NELSON,,NZL
TCR,TUTICORIN,TUTICORIN,,IND
JGA,JAMNAGAR AIRPORT,PORBANDER,,IND
DGT,SIBULAN AIRPORT,DUMAGUETE,,PHL
TTU,SANIEL RAMEL APT,TETOUAN,,MAR
HOG,FRANK PAIS ARPT,HOLGIN,,CUB
RVK,RYUM AIRPORT,RORVIK,,NOR
AGR,AGRA AIPORT,AGRA,,IND
HJR,KHAJURAHO,KHAJURAHO,,IND
PSM,PORTSMOUTH INTL,PORTSMOUTH,NH,USA
IVC,INVERCARGILL APT,INVERCARGILL,,NZL
USU,FRANCISO REYES,CORON,,PHL
GRS,GROSSETO,ROME,,ITA
LRT,LORIENT BRITTANY,LORIENT,,FRA
GIS,GISBORNE ARPT,GISBORNE,,NZL
SBG,MAIMUN SALEH,SABANG,,IND
EVN,ZVARTNOTS INTL,YEREVAN,,ARM
RNB,KALLINGE,RONNEBY/KARLSKRO,,SWE
SDN,ANDA,SANDANE,,NOR
UAK,NARSARSUAQ APRT,QAQORTOQ,,GRL
RUN,ROLAND GARROS AP,SAINTE MARIE,,REU
BIM,BIMINI AIRPORT,AIRPORT,,BHS
EMD,EMERALD,EMERALD,,AUS
TIA,TIRANA INT A/P,TIRANA,,ALB
LCK,RICKENBACKER INT,COLUMBUS,OH,USA
AQP,RODRIGUEZ BALLON,AREQUIPA,,PER
ANF,ANDRESGALVEZ APT,ANTOFAGASTA,,CHL
TBS,TBILISI INTL APT,TBILISI,,GEO
DKR,LÉOPOLD SÉDAR,DAKAR,,SEN
HGL,HELIGOLAND AIRPT,HELIGOLAND,,DEU
PAC,ALBROOK INTL,ALBROOK PANAMA C,,PAN
NPL,NEW PLYMOUTH APT,NEW PLYMOUTH,,NZL
VEY,VESTMANNAEYJAR,VESTMANNAEYJAR,,ISL
HZK,HUSAVIK AIRPORT,HUSAVIK,,ISL
BQB,BUSSELTON AIRPT,BUSSELTON,,AUS
LAD,QUATRO DE FEVERI,LUANDA,,AGO
TKD,TAKORADI AIRPORT,TAKORADI,,GHA
ABJ,PORT BOUET APT,ABIDJAN,,CIV
AER,SOCHI INTER APT,SOCHI,,RUE
LAR,LARAMIE AIRPORT,LARAMIE,WY,USA
ELS,EAST LONDON APT,EAST LONDON,,ZAF
CFN,DONEGAL AIPORT,DONEGAL,,IRL
MPM,MAPUTO INTL APT,MAPUTO,,MOZ
PLZ,PORT ELIZABETH,PORT ELIZABETH,,ZAF
RCB,RICHARDS BAY,RICAHRDS BAY,,ZAF
ZNZ,ABEID AMANI,ZANZIBAR CITY,,TZA
BJL,BANJUL INTL,BANJUL,,GMB
LUD,LUDERITZ AIRPORT,LUDERITZ,,NAM
WVB,WALVIS BAY APT,WALVIS BAY,,NAM
MHQ,MARIEHAMN APT,MARIEHAKMN,,FIN
TNR,MARILLAC AIRPORT,TOLANARO,,MDG
FTU,MARILLAC AIRPORT,TOLANARO,,MDG
DAC,SHAHJALA INT APT,DHAKA,,BGD
RKT,RAS AL KHAIMAH,RAS AL KHAIMAH,,ARE
ASJ,AMAMI AIRPORT,AMAMI,,JPN
RVN,ROVANIEMI,ROVANIEMI,,FIN
IVL,IVALO AIRPORT,IVALO,,FIN
LBF,NORTH PLATTE APT,NORTH PLATTE,NE,USA
MMB,MEMANBETSU,HOKKAIDO,,JPN
SYO,SHONAI AIRPORT,SAKATA,,JPN
ISN,SLOULIN FIELD,WILLISTON,ND,USA
ISA,MOUNT ISA AIRPT,MONUT ISA,,AUS
IAS,IASI INT AIRPORT,IASI,,ROM
IQQ,DIEGO ARACENA,IQUIQUE,,CHL
EAR,KEARNEY REGIONAL,KEARNEY,NE,USA
DPO,DEVONPORT AIRPOR,DEVONPORT,,AUS
LFW,TOKOIN INTL,LOME,,TGO
DZA,DZAOUDZI INTL,DZAOUDZI,,FRA
MLO,MILOS AIRPORT,MILOS,,GRC
NLK,NORFOLK AIRPORT,NORFOLK,,AUS
APL,NAMPULA AIRPORT,NAMPULA,,MOZ
ZCO,LA ARAUCANIA,TEMUCO,,CHL
DAR,JULIUS NYERERE,DAR ES SALAAM,,TZA
QTN,SAN ANTONIO,SAN ANTONIO,,CHL
CCP,CARRIEL SUR INTL,CONCEPCION,,CHL
TNJ,RAJA HAJI APT,BINTAN,,IDN
CUE,MARISCAL LAMAR,CUENCA,,ECU
CGI,CAPE GIRARDEAU,CAPE GIRARDEAU,MO,USA
PTJ,PORTLAND AIRPORT,PORTLAND,,AUS
LNY,LANAI AIRPORT,LANAI,HI,USA
ACC,KOTOKA INTL APT,ACCRA,,GHA
NOS,FASCENE AIRPORT,NOSE BE,,MDG
PAE,PAINE FIELD,SEATTLE,WA,USA
JNX,NAXOS ISLAND APT,NAXOS,,GRC
JSY,SYROS NATIONAL,SYROS,,GRC
CAX,CARLISLE,CARLISLE,,GBR
BXG,BENDIGO AIRPORT,GREATER BENDIGO,,AUS
JRS,JERUSALEM,JERUSALEM,,ISR
BKI,KOTA KINABALU,"SABAH, MALAYSIA",,MYS
WRE,WHANGAREI,WHANGAREI AIRPT,,NZL
BLR,KEMPEGOWDA INTL,BENGALURU,,IND
XWA,WILLISTON BASIN,WILLISTON BASIN,ND,USA
KBV,KRABI AIRPORT,KRABI,,THA
LON,SOUTHAMPTON,SOU,,GBR
BNN,BRONNOYSUND,BRONNOYSUND,,NOR
BMA,BROMMA,STOCKHOLM,,SWE
CJA,MAYOR GENERAL,CAJAMARCA,,PER
PBG,PLATTSBURGH INTL,PLATTSBURGH,NY,USA
PGB,XXX,XX,NY,USA
VFA,VICTORIA FALLS,VICTORIA FALLS,,ZWE
LBU,LABUAN INT APT,LABUAN,,MYS
RAF,ASCENCION AIRPT,ASCENCION,,SHN
HLE,ST HELENA ARPT,ST HELENA,,SHN
GRJ,GEORGE AIRPORT,GEORGE,,ZAF
GUR,GURNEY AIRPORT,ALOTAU,,PNG
GMR,TOTEGEGIE,MANGAREVA,,PYF
PVK,AKTION INT'L,PREVEZA,,GRC
KTW,KATOWICE,KATOWICE,,POL
FRO,FLORO AIRPORT,FLORO,,NOR
FAV,FAKARAVA AIRPORT,FAKARAVA,,PYF
USA,CONCORD REGIONAL,CONCORD,NC,USA
QRO,QUERETARO,QUERETARO,,MEX
ECN,ERCAN AIRPORT,ERCAN,,CYP
AZA,PHOENIX-MESA,PHOENIX,AZ,USA
ZAQ,NUREMBERG RAIL,NUREMBERG,,DEU
YZV,SEPT ILES,SEPT ILES,,CAN
SFJ,KANGERLUSSUAQ,KANGERLUSSUAQ,,GRL
QPP,BERLIN CEN TRAIN,BERLIN,,DEU
XIT,LEIPZIG,LEIPZIG,,DEU
XPL,PALMEROLA INT,COMAYAGUA,,HND
JOG,ADISUCIPTO INTL,YOGYAKARTA,,IDN
PLJ,PLACENCIA AIRPOR,PLACNENCIA,,BLZ
MOC,MONTES CLAROS AI,MONTES CLAROS,,BRA
MBL,MANISTEE,MANISTEE,MI,USA
PVU,PROVO MUNICIPAL,PROVO,UT,USA
EBL,ERBIL INTL AIRPT,ERBIL,,IRQ
OAX,OAXACA INTL,OAXACA,,MEX
YIA,YOGYAKARTA INTL,YOGYAKARTA,,IDN
