Port Code,Port Name,Country Code
BBR,"BASSE-TERRE, GUADELOUPE",GLP
VIJ,"VIRGIN GORDA, B.V.I.",VGB
PSE,"PONCE, PUERTO RICO",PRI
MNI,"PLYMOUTH, MONTSERRAT",MSR
SAO,"ST.TOMAS DE CASTILLA,GUATEM.",GTM
BOC,"BOCAS DEL TORO, PANAMA",PAN
NDX,"FALMOUTH, ANTIGUA",ATG
SIP,"YALTA, UKRAINE",UKR
BNO,"BONIFACIO, CORSICA",FRA
RRO,"SORRENTO, ITALY",ITA
PRC,"OLBIA (PORTO CERVO), ITALY",ITA
MNP,"MONOPOLI, ITALY",ITA
RAN,"BOLOGNA (RAVENNA), ITALY",ITA
STE,"SETE, FRANCE",FRA
JKH,"CHIOS, GREECE",GRC
CKZ,"CANAKKALE (KEPEZ), TURKEY",TUR
BXN,"BODRUM, TURKEY",TUR
FYE,"FETHIYE, TURKEY",TUR
AYT,"ANTALYA, TURKEY",TUR
SIC,"SINOP, TURKEY",TUR
UKS,"SEVASTOPOL, UKRAINE",UKR
VAR,"VARNA, BULGARIA",BGR
DPH,"DELPHI (ITEA), GREECE",GRC
SKG,"THESSALONIKI, GREECE",GRC
GIJ,"GIJON, SPAIN",ESP
LVR,"ATHENS (LAVRION), GREECE",GRC
BRI,"BARI, ITALY",ITA
MKZ,"MALACCA, MALAYSIA",MYS
HIJ,"HIROSHIMA, JAPAN",JPN
ICN,"SEOUL (INCHEON),SOUTH KOREA",KOR
DAL,"DALIAN, CHINA",CHN
KOP,"KOPER, SLOVENIA",SVN
LEI,"ALMERIA, SPAIN",ESP
BOD,"BORDEAUX, FRANCE",FRA
SCR,"SCRABSTER, SCOTLAND",GBR
OBN,"OBAN, SCOTLAND",GBR
PCI,"PHILLIP ISLAND, AUSTRALIA",AUS
KIL,"KIEL, GERMANY",DEU
GRN,"LONDON (GREENWICH), UK",GBR
AKA,"AKAROA, NEW ZEALAND",NZL
CXM,"CHRISTMAS ISLAND, KIRIBATI",KIR
LON,"LONDON (TOWER BRIDGE),UK",GBR
LTH,"EDINBURGH (LEITH),SCOTLAND",GBR
FRE,"PERTH (FREMANTLE), AUSTRALIA",AUS
PUV,"POUM, NEW CALEDONIA",NCL
VUV,"LUGANVILLE, VANUATU",VUT
CNW,"CAIRNS, AUSTRALIA",AUS
PTI,"PORT DOUGLAS, AUSTRALIA",AUS
CTN,"COOKTOWN, AUSTRALIA",AUS
WIL,"WILLIS ISLAND(CRUISING), AUS",AUS
ART,"PORT ARTHUR, TASMANIA",AUS
BWT,"BURNIE, TASMANIA",AUS
POM,"PORT MORESBY,PAPUA NEW GUINE",PNG
BME,"BROOME, AUSTRALIA",AUS
EXM,"EXMOUTH, AUSTRALIA",AUS
LIF,"LIFOU, LOYALTY ISLAND",NCL
UKB,"KOBE, JAPAN",JPN
GON,"NEW LONDON, CONNECTICUT",USA
MLC,"MELCHIOR ISLAND, ANTARCTICA",ATA
GLO,"GLOUCESTER, MASSACHUSETTS",USA
HAN,"HANOI (HALONG BAY),VIETNAM",VNM
TRV,"LUBECK (TRAVEMUNDE), GERMANY",DEU
CAO,"CAYO LEVANTADO (SAMANA),D.R.",DOM
BUY,"BUNBURY, AUSTRALIA",AUS
ALH,"ALBANY, AUSTRALIA",AUS
ADL,"ADELAIDE, AUSTRALIA",AUS
NPT,"UNKNOWN, IN ERROR",USA
CPT,"CAPE TOWN, SOUTH AFRICA",ZAF
RFP,"RAIATEA, FRENCH POLYNESIA",PYF
EES,ENSENADA - NO DISEMBARKATION,MEX
GUA,"PUERTO QUETZAL,GUATEMALA",GTM
MGO,"MARIGOT, SAINT MARTIN",ANT
CHA,"HUE/DANANG(CHAN MAY),VIETNAM",VNM
LSP,FLORENCE/PISA(LASPEZIA)ITALY,ITA
LRM,"LA ROMANA,DOMINICAN REPUBLIC",DOM
ANR,"ANTWERP, BELGIUM",BEL
RKD,"ROCKLAND, MAINE",USA
MRB,"MARLBOROUGH SOUNDS, NZ",NZL
ZAD,"ZADAR, CROATIA",HRV
KTR,"KOTOR, MONTENEGRO",MNE
VOL,"VOLOS, GREECE",GRC
AFP,"AMALFI, ITALY",ITA
ISA,"ISAFJORDUR, ICELAND",ISL
WAT,"WATERFORD, IRELAND",IRL
DTM,"DARTMOUTH, UNITED KINGDOM",GBR
UTB,"UBATUBA, BRAZIL",BRA
SDZ,"SARANDE, ALBANIA",ALB
BQU,"BEQUIA, THE GRENADINES",VCT
OPO,"PORTO (LEIXOES), PORTUGAL",PRT
UBT,"UBATUBA, BRAZIL",BRA
CTT,CRISTOBAL TOUR PICK-UP ONLY,PAN
FTM,INVALID PORT CODE,JAM
GES,GERLACHE STRAIT,ATA
PDB,"PARADISE BAY, ANTARCTICA",ATA
FMT,"FALMOUTH, JAMAICA",JAM
PPG,"PAGO PAGO, AMERICAN SAMOA",WSM
APW,"APIA, SAMOA",ASM
BMT,"BANGKOK(KLONG TOEY),THAILAND",THA
IGD,"ILHA GRANDE, BRAZIL",BRA
MYS,"MYSTERY ISLAND, VANUATU",VUT
CPB,"CHAMPAGNE BAY, VANUATU",VUT
FJR,"FUJAIRAH,UNITED ARAB EMIRAT.",ARE
AUH,"ABU DHABI,UNITED ARAB EMIR.",ARE
BAH,"BAHRAIN, BAHRAIN",BHR
UBI,URVINA BAY (ISABELA),ECU
KKR,KICKER ROCK (SAN CRISTOBAL),ECU
XIP,ALASKA INSIDE PASSAGE,USA
WSY,"AIRLIE BEACH, QLD, AUSTRALIA",AUS
HUN,"HUALIEN, TAIWAN, CHINA",TWN
TXG,"TAICHUNG, TAIWAN, CHINA",TWN
BIA,"BASTIA, CORSICA",FRA
KOR,"KORCULA, CROATIA",HRV
CHQ,"CHANIA (SOUDA),CRETE, GREECE",GRC
JSI,"SKIATHOS, GREECE",GRC
ZTH,"ZAKYNTHOS, GREECE",GRC
LPZ,"LA PAZ, MEXICO",MEX
TOP,"TOPOLOBAMPO, MEXICO",MEX
GYM,"GUAYMAS,MEXICO",MEX
LOR,"LORETO, MEXICO",MEX
QIN,"QINGDAO, CHINA",CHN
HKD,"HAKODATE, JAPAN",JPN
OAU,"OTARU, JAPAN",JPN
VVO,"VLADIVOSTOK, RUSSIA",RUE
MZK,"MIYAZAKI (HOSOSHIMA), JAPAN",JPN
NGO,"NAGOYA, JAPAN",JPN
LEO,"NORMANDY (LE HAVRE), FRANCE",FRA
HFW,"VICTORIA HBR,HONG KONG,CHINA",HKG
SNO,"AMALFI COAST (SALERNO),ITALY",ITA
IZM,"IZMIR, TURKEY",TUR
SOU,"SOUSSE, TUNISIA",TUN
DRY,DRY-DOCK (LOCATION VARIES),USA
BDS,"BRINDISI, ITALY",ITA
YGX,"YONGXING/WOODY ISLAND, CHINA",CHN
LCY,"LONDON (TILBURY), UK",GBR
HAK,"HAIKOU, CHINA",CHN
SKM,"SAKAIMINATO, JAPAN",JPN
STR,"SANTANDER, SPAIN",ESP
IJM,"AMSTERDAM(IJMUIDEN),NETHER.",NLD
LSS,"ILES DES SAINTES, GUADELOUPE",GLP
NEX,DO NOT USE - WRONG CODE,BGR
NES,"NESSEBAR, BULGARIA",BGR
